Ref,Val,Package,PosX,PosY,Rot,Side
"C17","0.1µF 25V","C_0402_1005Metric",99.900000,-75.300000,90.000000,top
"C18","0.1µF 25V","C_0402_1005Metric",121.420000,-125.500000,0.000000,top
"C37","1µF 25V","C_0805_2012Metric",105.200000,-70.900000,90.000000,top
"C38","10µF 25V","C_1206_3216Metric",108.125000,-70.330000,90.000000,top
"C39","1µF 25V","C_0805_2012Metric",99.280000,-125.500000,180.000000,top
"C40","4.7µF 25V","C_0805_2012Metric",114.650000,-122.300000,0.000000,top
"LED1","LTST-C191KGKT_flyman","LED_0603_1608Metric",101.112500,-71.300000,0.000000,top
"R30","10KΩ","R_0402_1005Metric",99.900000,-77.210000,90.000000,top
"R31","10KΩ","R_0402_1005Metric",117.710000,-125.500000,180.000000,top
"R35","10KΩ","R_0402_1005Metric",104.500000,-94.410000,-90.000000,top
"R36","10KΩ","R_0402_1005Metric",117.200000,-94.390000,-90.000000,top
"R37","5.1KΩ","R_0402_1005Metric",106.610000,-125.410000,90.000000,top
"R38","5.1KΩ","R_0402_1005Metric",114.800000,-125.490000,-90.000000,top
"R39","1KΩ","R_0402_1005Metric",103.200000,-71.490000,90.000000,top
"U1","USBLC6-2SC6","SOT95P280X145-6N",110.145000,-123.855000,0.000000,top
