J1 Pin,J2 Finger,Net
1,1,PIN_1
2,2,PIN_2
3,3,PIN_3
4,4,PIN_4
5,5,PIN_5
6,6,PIN_6
7,7,PIN_7
8,8,PIN_8
9,9,PIN_9
10,10,PIN_10
11,11,PIN_11
12,12,PIN_12
13,13,PIN_13
14,14,PIN_14
15,15,PIN_15
16,16,PIN_16
17,17,PIN_17
18,18,PIN_18
19,19,PIN_19
20,20,PIN_20
21,21,PIN_21
22,22,PIN_22
23,23,PIN_23
24,24,PIN_24
25,25,PIN_25
26,26,PIN_26
27,27,PIN_27
28,28,PIN_28
29,29,PIN_29
30,30,PIN_30
31,31,PIN_31
32,32,PIN_32
33,33,PIN_33
34,34,PIN_34
35,35,PIN_35
36,36,PIN_36
37,37,PIN_37
38,38,PIN_38
39,39,PIN_39
