Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,,,,,,
aC1,1,0.1µF 275V X2,,,,Capacitor_THT:C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,,,,,,,
"aC2,aC3",2,470pF 440V X1Y2,,,,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P7.50mm,,,,,,,
aC4,1,15µF 450V,,,,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,,,,,,,
aC5,1,1000pF 440V Y5U,,,,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P7.50mm,,,,,,,
aC6,1,470µF 25V,,,,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,,,,,,,
aC7,1,220µF 35V,,,,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,,,,,,,
aD1,1,SMBJ20A,,,,SMBJ20A_PelletPirate:DIOM5436X261N_PelletPirate,,,,,,,
aF1,1,Fuse 2A,,,,0031.8201:SCHURTER_0031.8201,,,,,,,
aL1,1,2.2µH,,,,2.2uH_Murata_1212_footprint:IND_LQH3NPH2R2MMEL,,,,,,,
aLF1,1,SSRH7H-M05408,,,,Kermit_Choke_SSRH7H_MO5408:Kemet_Choke_SSRH7H_M05408,kicad-embed://KERMET_CHOKE_LF0040_SSRH7H-M.pdf,,,,,,
aMOV1,1,PP_14D561K,,,,Varistors_PelletPirate:Varistor_14mm_p7.5mm,,,,,,,
aPS1,1,PBO-5F-12,,,,PBO-5F-12_PP_Try2:PBO-5F-12_pp2,,,,,,,
"bC1,cC1",2,10µF 25V,,,,Capacitor_SMD:C_1206_3216Metric,,,,,,,
"bC2,bC3",2,0.1µF 50V,,,,Capacitor_SMD:C_0805_2012Metric,,,,,,,
"bC4,bC5,bC6",3,22µF 16V,,,,Capacitor_SMD:C_1206_3216Metric,,,,,,,
bL2,1,3.3µH,,,,3.3uH_Inductor_Murata:IND_LQH43PN3R3M26L,,,,,,,
bPS2,1,Buck 3.3V 2A,,,,Buck_3.3V:SOT95P280X110-6N,,,,,,,
bR1,1,100?,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,
bR2,1,33.2K?,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,
"bR3,gR1,gR2,gR3,gR4,gR5,gR6",7,10K?,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,
cC2,1,0.1µF 25V,,,,Capacitor_SMD:C_0805_2012Metric,,,,,,,
cC3,1,0.22µF 50V,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,
cC4,1,1µF 50V,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,,,,
cD1,1,STPS0540Z,,,,STPS0540Z_Schotty Diode LED:SOD-123,,,,,,,
cL3,1,SRR4028-100Y,,,,Inductors:SRR4028,,,,,,,
cPS3,1,TPS61165DBVR,,,,LED_Driver:SOT95P280X145-6N,,,,,,,
cR1,1,100K?,,,,Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,,,,,,
cR2,1,4.99? 1%,,,,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,,,,
"dC1,eC1,fC1",3,0.01µF 305V X2,,,,Capacitor_THT:C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4,,,,,,,
"dMOC1,eMOC2,fMOC3",3,MOC3063M,,,,MOC3063M-PP2:MOC3063M-PP2,https://www.onsemi.com/pub/Collateral/MOC3163M-D.pdf,,,,,,
"dR1,eR1,fR1",3,330?,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,
