"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","0.01µF 305V X2","","","","Capacitor_THT:C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4",""
"C4","1","0.1µF 275V X2","","","","Capacitor_THT:C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4",""
"C5,C6","2","470pF 440V X1Y2","","","","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P7.50mm",""
"C7","1","15µF 450V","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C8,C10","2","10µF 25V","","","","Capacitor_SMD:C_1206_3216Metric",""
"C9","1","0.1µF 25V","","","","Capacitor_SMD:C_0805_2012Metric",""
"C11,C14","2","0.1µF 50V","","","","Capacitor_SMD:C_0805_2012Metric",""
"C12","1","1000pF 440V Y5U","","","","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P7.50mm",""
"C13","1","470µF 25V","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C15","1","220µF 35V","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"C16","1","1µF 50V","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C18,C19,C20","3","22µF 16V","","","","Capacitor_SMD:C_1206_3216Metric",""
"C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35","15","0.1µF 16V","","","","Capacitor_SMD:C_0805_2012Metric",""
"C36","1","0.22µF 50V","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1","1","SMBJ20A","","","","SMBJ20A_PelletPirate:DIOM5436X261N_PelletPirate",""
"D2","1","STPS0540Z","","","","STPS0540Z_Schotty Diode LED:SOD-123",""
"F1","1","Fuse 2A","","","","0031.8201:SCHURTER_0031.8201",""
"FPC1","1","FH26W-39S-0.3SHW_60_","","","","FPC_Connector_HiRose:HRS_FH26W-39S-0.3SHW_60_",""
"J1,J2,J3,J4,J5","5","SJ1-3523NG_Jack_PP","","","","3.5mm_Jacks:CUI_SJ1-3523NG_PelletPirate","kicad-embed://3.5mm_Jack_sj1-352xng.pdf"
"J6","1","Conn_01x04","","","","Connector_Hirose:Hirose_DF13-04P-1.25DSA_1x04_P1.25mm_Vertical",""
"L1","1","2.2µH","","","","2.2uH_Murata_1212_footprint:IND_LQH3NPH2R2MMEL",""
"L2","1","3.3µH","","","","3.3uH_Inductor_Murata:IND_LQH43PN3R3M26L",""
"L3","1","SRR4028-100Y","","","","Inductors:SRR4028",""
"LF1","1","SSRH7H-M05408","","","","Kermit_Choke_SSRH7H_MO5408:Kemet_Choke_SSRH7H_M05408","kicad-embed://KERMET_CHOKE_LF0040_SSRH7H-M.pdf"
"MAX1,MAX2,MAX3,MAX4,MAX5","5","MAX31865xTP","","","","Package_DFN_QFN:TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm","https://www.analog.com/media/en/technical-documentation/data-sheets/MAX31865.pdf"
"MOC1,MOC2,MOC3","3","MOC3063M","","","","MOC3063M-PP2:MOC3063M-PP2","https://www.onsemi.com/pub/Collateral/MOC3163M-D.pdf"
"MOV1","1","PP_14D561K","","","","Varistors_PelletPirate:Varistor_14mm_p7.5mm",""
"PS1","1","PBO-5F-12","","","","PBO-5F-12_PP_Try2:PBO-5F-12_pp2",""
"PS2","1","Buck 3.3V 2A","","","","Buck_3.3V:SOT95P280X110-6N",""
"PS3","1","TPS61165DBVR","","","","LED_Driver:SOT95P280X145-6N",""
"R1,R2,R3","3","39Ω 1W","","","","Resistor_SMD:R_2512_6332Metric",""
"R4,R5,R6,R26,R27,R28","6","360Ω 1/4W","","","","Resistor_SMD:R_1206_3216Metric",""
"R7,R8,R9","3","330Ω","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R13,R14,R18,R20,R29,R30,R31","7","10KΩ","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R15","1","100KΩ","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R16","1","100KΩ","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",""
"R17","1","4.99Ω 1%","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R19","1","33.2KΩ","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R21,R22,R23,R24,R25","5","400Ω","","","","Resistor_SMD:R_1206_3216Metric",""
"T1,T2,T3","3","BTA12-Triac","","","","Package_TO_SOT_THT:TO-220-3_Vertical","kicad-embed://bta12-600B TRIAC.pdf"
