,,,Reference,Qty,Value,Voltage / Watts,Manufacturer Part Number,Digitkey Part Number Link,,Footprint,
,,15,"C1,C2,C3",3,0.01µF 305V X2 Film,305V,B32921C3103M026,495-B32921C3103M026-ND,FILM CAP MKP X2 0.010UF 20% 305V,Capacitor_THT:C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4,
,,,C4,1,0.1µF 275V X2,,,,,Capacitors:CAPRR1500W80L1800T500H1050,
,,,"C5,C6",2,470pF 250V Y2,,,,,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P7.50mm,
,,,C7,1,15µF 450V,,,,,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,
,,5,C8,1,10µF,25V,C1206C106K3RACTU,399-C1206C106K3RACTUCT-ND,CAP CER 10UF 25V X7R 1206,Capacitor_SMD:C_1206_3216Metric,
,,5,C9,1,100nF,25V,C0805C104K3RACTU,399-C0805C104K3RACTUCT-ND,CAP CER 0.1UF 25V X7R 0805,Capacitor_SMD:C_0805_2012Metric,
,,,C10,1,10uf 25V,,,,,Capacitor_SMD:C_0805_2012Metric,
,,,"C11,C14",2,0.1uF 50V,,,,,Capacitor_SMD:C_0805_2012Metric,
,,,C12,1,1000pF 440V Y2,,,,,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P7.50mm,
,,,C13,1,470µF 25V,,,,,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,
,,,C15,1,220µF 35V,,,,,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,
,,5,C16,1,1uF 50V,50V,C0805C105K5RACTU,399-C0805C105K5RACTUCT-ND,CAP CER 1UF 50V X7R 0805,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
,,,"C18,C19,C20",3,22uF 16V,,,,,Capacitor_SMD:C_1206_3216Metric,
,,50,"C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35",15,0.1uF 16V X7R,16V,CC0805KRX7R7BB104,311-1142-1-ND,CAP CER 0.1UF 16V X7R 0805,Capacitor_SMD:C_0805_2012Metric,
,,,C36,1,220nF,,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
,,,D1,1,SMBJ20A,,,,,SMBJ20A_PelletPirate:DIOM5436X261N_PelletPirate,
,,,D2,1,STPS0540Z,,,,,STPS0540Z_Schotty Diode LED:SOD-123,
,,,ESP1,1,ESP32-DEVKITC-32E_PelletPirate,,,,,ESP32-DevKitC-32E_PelletPirate:MODULE_ESP32-DEVKITC-32E_PelletPirate,
5,,,F1,1,Fuse 2A,500V,31.8201,486-1258-ND,FUSE BLOK CARTRIDGE 500V 16A PCB,0031.8201:SCHURTER_0031.8201,
,,3,FPC1,1,FH26W-39S-0.3SHW_60_,n/a,FH26W-39S-0.3SHW(60),H125803CT-ND,CONN FPC BOTTOM 39POS 0.3MM R/A,FPC_Connector_HiRose:HRS_FH26W-39S-0.3SHW_60_,
,,,"J1,J2,J3,J4,J5",5,SJ1-3523NG_Jack_PP,,,,,3.5mm_Jacks:CUI_SJ1-3523NG_PelletPirate,
,,,J6,1,Conn_01x04,,,,,Connector_Hirose:Hirose_DF13-04P-1.25DSA_1x04_P1.25mm_Vertical,
,,5,L1,1,2.2µH,2.1A,LQH3NPH2R2MMEL,490-LQH3NPH2R2MMELCT-ND,FIXED IND 2.2UH 2.1A 78 MOHM SMD,Inductor_SMD:L_2512_6332Metric,
,,,L2,1,3.3µH,,,,,Inductor_SMD:L_2512_6332Metric,
,,5,L3,1,SRR4028-100Y,1.19A,SRR4028-100Y,SRR4028-100YCT-ND,FIXED IND 10UH 1.19A 110 MOHM,Inductors:SRR4028,
5,,,LF1,1,SSRH7H-M05408,500MA,SSRH7H-M05408,399-17043-ND,CMC 40.8MH 500MA 2LN TH,Kermit_Choke_SSRH7H_MO5408:Kemet_Choke_SSRH7H_M05408,
,,,"MAX1,MAX2,MAX3,MAX4,MAX5",5,MAX31865xTP,,,,,Package_DFN_QFN:TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm,
,,,MOC1,1,IGNITER,,,,,MOC3063M-PP2:MOC3063M-PP2,
,,,MOC2,1,AUGER,,,,,MOC3063M-PP2:MOC3063M-PP2,
,,,MOC3,1,FAN,,,,,MOC3063M-PP2:MOC3063M-PP2,
5,,,MOV1,1,PP_14D561K,560V 4.5KA,MOV-14D561K,118-MOV-14D561K-ND,VARISTOR 560V 4.5KA DISC 14MM,Varistors_PelletPirate:Varistor_14mm_p7.5mm,
,,,PS1,1,PBO-5F-12,,,,,PBO-5F-12_PP_Try2:PBO-5F-12_pp2,
,,,PS2,1,Buck 3.3V 2A,,,,,Buck_3.3V:SOT95P280X110-6N,
,,5,PS3,1,TPS61165DBVR,IC LED DRV SOT23-6,TPS61165DBVR,296-27597-1-ND,IC LED DRV RGLTR PWM SOT23-6,LED_Driver:SOT95P280X145-6N,
,,15,"R1,R2,R3",3,39? 1W,1W,CRCW251239R0FKEG,541-39.0AFCT-ND,RES SMD 39 OHM 1% 1W 2512,Resistor_SMD:R_2512_6332Metric,
,,18,"R4,R5,R6,R26,R27,R28",6,360? 1/4W,1/4W,CRCW1206360RFKEA,541-360FCT-ND,RES SMD 360 OHM 1% 1/4W 1206,Resistor_SMD:R_1206_3216Metric,
,,,"R7,R8,R9",3,330?,,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
,,10,"R13,R14,R18,R20,R29,R30,R31",7,10K? 1%,1/8W,RC0805FR-0710KL,311-10.0KCRCT-ND,RES 10K OHM 1% 1/8W 0805,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
,,,R15,1,100K?,,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
,,,R16,1,100K?,,,,,Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
,,,R17,1,4.99? 1%,,,,,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
,,,R19,1,33.2K,,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
,,25,"R21,R22,R23,R24,R25",5,400?,1/4W,RT1206BRD07400RL,13-RT1206BRD07400RLCT-ND,RES SMD 400 OHM 0.1% 1/4W 1206,Resistor_SMD:R_1206_3216Metric,
,,,"T1,T2,T3",3,BTA12-Triac,,,,,Package_TO_SOT_THT:TO-220-3_Vertical,
,,,,,,,,,,,
,,10,,,Wire - Blue,n/a,H4BXG-10106-L8,H4BXG-10106-L8-ND,"JUMPER-H9991TR/1852BL/X 6""",n/a,
,,10,,,Wire - Orange,n/a,H4BXG-10106-A8,H4BXG-10106-A8-ND,"JUMPER-H9991TR/1852OR/X 6""",n/a,
,,10,,,Wire - Yellow,n/a,H4BXG-10106-Y8,H4BXG-10106-Y8-ND,"JUMPER-H9991TR/1852YL/X 6""",n/a,
,,10,,,Wire - Black,n/a,H4BXG-10106-B8,H4BXG-10106-B8-ND,"JUMPER-H9991TR/1852BK/X 6""",n/a,
,,5,,,Male 4POS encoder plug,n/a,DF13-4S-1.25C,H2181-ND,CONN RCPT HSG 4POS 1.25MM,n/a,
,,5,,,Female 4POS encoder plug,n/a,DF13A-4P-1.25H(51),H125779CT-ND,CONN HEADER SMD R/A 4POS 1.25MM,n/a,
5,,,,,2A glass fast-blow fuses,250V 2A,VBS UBM 2A 250V (PF),4598-VBSUBM2A250V(PF)-ND,FUSE CERAMIC 2A 250VAC 5X20MM,n/a,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Returns,,,,,,,,
,,,,5,,,PBO-5F-5,,"AC-DC, 5 W, 5 VDC, SINGLE OUTPUT",,
,,,,5,,,SMBJ7.0A,,TVS DIODE 7VWM 12VC DO214AA,,
,,,,5,,,78F2R2J-RC,,FIXED IND 2.2UH 630MA 250 MOHM,,
