Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.01µF 305V X2","C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4",132.300000,-110.900000,0.000000,bottom
"C2","0.01µF 305V X2","C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4",150.500000,-116.200000,0.000000,bottom
"C3","0.01µF 305V X2","C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4",155.800000,-110.900000,180.000000,bottom
"C8","10µF 25V","C_1206_3216Metric",150.500000,-55.375000,-90.000000,bottom
"C9","0.1µF 25V","C_0805_2012Metric",148.300000,-55.612500,-90.000000,bottom
"C10","10µF 25V","C_1206_3216Metric",181.400000,-57.300000,90.000000,bottom
"C11","0.1µF 50V","C_0805_2012Metric",179.200000,-57.100000,-90.000000,bottom
"C14","0.1µF 50V","C_0805_2012Metric",167.495000,-59.937500,-90.000000,bottom
"C16","1µF 50V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",145.400000,-62.300000,-90.000000,bottom
"C18","22µF 16V","C_1206_3216Metric",159.895000,-57.237500,-90.000000,bottom
"C19","22µF 16V","C_1206_3216Metric",156.995000,-57.175000,-90.000000,bottom
"C20","22µF 16V","C_1206_3216Metric",154.100000,-55.362500,-90.000000,bottom
"C21","0.1µF 16V","C_0805_2012Metric",138.510000,-87.147500,90.000000,bottom
"C22","0.1µF 16V","C_0805_2012Metric",159.870000,-87.118750,90.000000,bottom
"C23","0.1µF 16V","C_0805_2012Metric",172.563750,-70.681250,-90.000000,bottom
"C24","0.1µF 16V","C_0805_2012Metric",157.320000,-70.662500,-90.000000,bottom
"C25","0.1µF 16V","C_0805_2012Metric",143.137500,-70.965000,-90.000000,bottom
"C26","0.1µF 16V","C_0805_2012Metric",148.472500,-87.172500,90.000000,bottom
"C27","0.1µF 16V","C_0805_2012Metric",169.120000,-86.487500,90.000000,bottom
"C28","0.1µF 16V","C_0805_2012Metric",163.263750,-72.481250,-90.000000,bottom
"C29","0.1µF 16V","C_0805_2012Metric",148.120000,-72.762500,-90.000000,bottom
"C30","0.1µF 16V","C_0805_2012Metric",133.637500,-72.327500,-90.000000,bottom
"C31","0.1µF 16V","C_0805_2012Metric",138.610000,-83.147500,-90.000000,bottom
"C32","0.1µF 16V","C_0805_2012Metric",159.870000,-83.081250,-90.000000,bottom
"C33","0.1µF 16V","C_0805_2012Metric",172.563750,-74.781250,90.000000,bottom
"C34","0.1µF 16V","C_0805_2012Metric",157.320000,-74.737500,90.000000,bottom
"C35","0.1µF 16V","C_0805_2012Metric",143.137500,-74.865000,90.000000,bottom
"C36","0.22µF 50V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.600000,-56.075000,-90.000000,bottom
"D2","STPS0540Z","SOD-123",148.640000,-58.400000,0.000000,bottom
"FPC1","FH26W-39S-0.3SHW_60_","HRS_FH26W-39S-0.3SHW_60_",138.200000,-144.125000,0.000000,bottom
"J1","SJ1-3523NG_Jack_PP","CUI_SJ1-3523NG_PelletPirate",171.200000,-45.000000,-90.000000,bottom
"J2","SJ1-3523NG_Jack_PP","CUI_SJ1-3523NG_PelletPirate",158.600000,-45.000000,-90.000000,bottom
"J3","SJ1-3523NG_Jack_PP","CUI_SJ1-3523NG_PelletPirate",146.000000,-45.000000,-90.000000,bottom
"J4","SJ1-3523NG_Jack_PP","CUI_SJ1-3523NG_PelletPirate",133.400000,-45.000000,-90.000000,bottom
"J5","SJ1-3523NG_Jack_PP","CUI_SJ1-3523NG_PelletPirate",125.000000,-59.000000,0.000000,bottom
"J6","Conn_01x04","Hirose_DF13-04P-1.25DSA_1x04_P1.25mm_Vertical",125.500000,-92.900000,-90.000000,bottom
"L2","3.3µH","IND_LQH43PN3R3M26L",170.000000,-54.800000,180.000000,bottom
"L3","SRR4028-100Y","SRR4028",150.650000,-62.300000,90.000000,bottom
"MAX1","MAX31865xTP","TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm",142.910000,-86.810000,-90.000000,bottom
"MAX2","MAX31865xTP","TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm",164.270000,-86.850000,-90.000000,bottom
"MAX3","MAX31865xTP","TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm",168.163750,-72.156250,90.000000,bottom
"MAX4","MAX31865xTP","TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm",153.010000,-72.390000,90.000000,bottom
"MAX5","MAX31865xTP","TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm",138.810000,-72.490000,90.000000,bottom
"MOC1","MOC3063M","MOC3063M-PP2",131.840000,-102.790000,-90.000000,bottom
"MOC2","MOC3063M","MOC3063M-PP2",144.140000,-103.510000,-90.000000,bottom
"MOC3","MOC3063M","MOC3063M-PP2",157.740000,-103.510000,-90.000000,bottom
"PS2","Buck 3.3V 2A","SOT95P280X110-6N",171.950000,-60.000000,180.000000,bottom
"PS3","TPS61165DBVR","SOT95P280X145-6N",143.107500,-55.712500,180.000000,bottom
"R15","100KΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",175.400000,-57.062500,90.000000,bottom
"R16","100KΩ","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.300000,-55.712500,-90.000000,bottom
"R17","4.99Ω 1%","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",137.300000,-55.462500,-90.000000,bottom
"R19","33.2KΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.457500,-54.800000,180.000000,bottom
"R20","10KΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",164.195000,-59.600000,-90.000000,bottom
"R21","400Ω","R_1206_3216Metric",142.972500,-81.410000,0.000000,bottom
"R22","400Ω","R_1206_3216Metric",164.542500,-82.100000,0.000000,bottom
"R23","400Ω","R_1206_3216Metric",168.563750,-77.100000,180.000000,bottom
"R24","400Ω","R_1206_3216Metric",153.362500,-77.100000,180.000000,bottom
"R25","400Ω","R_1206_3216Metric",139.037500,-77.565000,180.000000,bottom
"R29","10KΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.500000,-82.800000,180.000000,bottom
"R30","10KΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.800000,-80.500000,180.000000,bottom
"R31","10KΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.100000,-78.300000,180.000000,bottom
"AC-(N)","AC-NEUTRAL","SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm",157.000000,-139.600000,0.000000,top
"C4","0.1µF 275V X2","C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4",142.400000,-116.400000,180.000000,top
"C5","470pF 440V X1Y2","C_Disc_D7.5mm_W5.0mm_P7.50mm",165.100000,-127.300000,-90.000000,top
"C6","470pF 440V X1Y2","C_Disc_D7.5mm_W5.0mm_P7.50mm",170.900000,-127.300000,-90.000000,top
"C7","15µF 450V","CP_Radial_D10.0mm_P5.00mm",179.200000,-115.200000,90.000000,top
"C12","1000pF 440V Y5U","C_Disc_D7.5mm_W5.0mm_P7.50mm",182.600000,-103.800000,180.000000,top
"C13","470µF 25V","CP_Radial_D10.0mm_P5.00mm",181.767677,-123.700000,180.000000,top
"C15","220µF 35V","CP_Radial_D8.0mm_P3.50mm",181.400000,-133.400000,180.000000,top
"D1","SMBJ20A","DIOM5436X261N_PelletPirate",179.700000,-88.000000,90.000000,top
"ESP_J2","PelletPirate_J2_01toJ2_19","PinHeader_J2x19_P2.54mm_Vertical_PelletPirate",129.120000,-92.000000,90.000000,top
"ESP_J3","PelletPirate_J3_01toJ3_19","PinHeader_J3x19_P2.54mm_Vertical_PelletPirate",129.120000,-66.600000,90.000000,top
"F1","Fuse 2A","SCHURTER_0031.8201",125.300000,-121.525000,90.000000,top
"L1","2.2µH","IND_LQH3NPH2R2MMEL",178.400000,-97.500000,180.000000,top
"LF1","SSRH7H-M05408","Kemet_Choke_SSRH7H_M05408",158.600000,-121.300000,-90.000000,top
"MOV1","PP_14D561K","Varistor_14mm_p7.5mm",137.900000,-123.500000,-90.000000,top
"PS1","PBO-5F-12","PBO-5F-12_pp2",165.400000,-111.400000,90.000000,top
"R1","39Ω 1W","R_2512_6332Metric",132.137500,-103.600000,180.000000,top
"R2","39Ω 1W","R_2512_6332Metric",144.462500,-104.400000,180.000000,top
"R3","39Ω 1W","R_2512_6332Metric",158.237500,-103.700000,0.000000,top
"R4","360Ω 1/4W","R_1206_3216Metric",138.300000,-101.637500,90.000000,top
"R5","360Ω 1/4W","R_1206_3216Metric",149.900000,-106.300000,90.000000,top
"R6","360Ω 1/4W","R_1206_3216Metric",150.500000,-101.562500,90.000000,top
"R7","330Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.200000,-96.100000,90.000000,top
"R8","330Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",140.437500,-96.167500,90.000000,top
"R9","330Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.762500,-96.000000,-90.000000,top
"R13","10KΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.962500,-94.800000,0.000000,top
"R14","10KΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.300000,-94.800000,0.000000,top
"R18","10KΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",162.062500,-63.800000,0.000000,top
"R26","360Ω 1/4W","R_1206_3216Metric",138.300000,-106.262500,-90.000000,top
"R27","360Ω 1/4W","R_1206_3216Metric",160.000000,-112.400000,0.000000,top
"R28","360Ω 1/4W","R_1206_3216Metric",159.900000,-109.900000,180.000000,top
"T1","BTA12-Triac","TO-220-3_Vertical",150.750000,-146.880000,90.000000,top
