time,ev,mode,grill,tgt,u,fan,aug,ign,p1,p2,p3,p4,rssi,note
2026-07-14 23:31:13,E,Ignite,75.0,300,0.15,0,0,0,75.9,,,,-61,MODE Off>Ignite (web)
2026-07-14 23:31:14,S,Ignite,75.0,300,0.15,0,0,0,75.9,,,,-61,
2026-07-14 23:31:15,E,Ignite,75.0,300,0.15,1,0,0,75.9,,,,-64,FAN ON (auto)
2026-07-14 23:31:18,E,Ignite,75.3,300,0.15,1,1,1,76.1,,,,-63,IGNITER ON (auto)
2026-07-14 23:31:44,S,Ignite,76.2,300,0.15,1,0,1,77.4,,,,-61,
2026-07-14 23:31:46,E,Ignite,76.2,300,0.15,1,0,1,77.6,,,,-60,PROBE 3 cfg tg=160 al=120 Pork Butt/Baste (web)
2026-07-14 23:32:15,S,Ignite,75.6,300,0.15,1,1,1,77.8,,,,-67,
2026-07-14 23:32:46,S,Ignite,86.1,300,0.15,1,0,1,78.2,,,,-66,
2026-07-14 23:32:50,E,Off,86.0,300,0.15,0,0,0,78.3,,,,-61,MODE Ignite>Off (web)
2026-07-14 23:32:50,E,Off,86.0,300,0.15,0,0,0,78.3,,,,-64,IGNITER OFF (auto)
2026-07-14 23:32:50,E,Off,86.0,300,0.15,0,0,0,78.3,,,,-64,FAN OFF (auto)
