Section,Rail,Ref,Ref_Class,RefNumber,Value,Voltage Rating,Footprint-Solderable,Footprint-PCBWay,Type,Qty,Temp Rating,Manufacturer,Manufacturer PN (Solderable),DigiKey PN (Solderable),Manufacturer PN (PCBWay),DigiKey PN (PCBWay),Notes
AC-Power,AC_110V,WirePad1,WirePad,1,LOAD (L) 16ga,N/A,Through-hole pad,Through-hole pad,Wire pad,1,N/A,N/A,N/A,N/A,N/A,N/A,AC Line input
AC-Power,AC_110V,WirePad2,WirePad,2,NEUTRAL (N) 16ga,N/A,Through-hole pad,Through-hole pad,Wire pad,1,N/A,N/A,N/A,N/A,N/A,N/A,AC Neutral input
AC-Power,AC_110V,F1,F,1,2A,300V,Through-hole,Through-hole,Fuse,1,N/A,Eaton (Bussmann),SS-5H-2A-APH,SS-5H-2A-APH-ND,Same,Same,300V/2A slow-blow radial leaded
AC-Power,AC_110V,MOV1,MOV,1,14D561K,275Vac,Through-hole,Through-hole,Metal Oxide Varistor,1,-40C to 85C,Bourns,MOV-14D561K,MOV-14D561K-ND,Same,Same,560V clamping 14mm disc 4.5kA
AC-Power,AC_110V,C14,C,14,0.1uF,310V,Through-hole,Through-hole,X2 Safety Film Cap,1,-40C to 110C,KEMET,R46KF310000M1M,VERIFY ON DIGIKEY,Same,Same,X2 class metallized polypropylene
AC-Power,AC_110V,LF1,LF,1,Choke_CommonMode,N/A,Through-hole,Through-hole,Common Mode Choke,1,N/A,TBD,TBD,TBD,Same,Same,UU9.8 30mH min per datasheet
AC-Power,AC_110V,C15,C,15,470pF,250V,Through-hole,Through-hole,Y2 Safety Film Cap,1,-40C to 125C,Vishay,VY2471K29Y5SS63V7,BC2352-ND,Same,Same,Y2 rated 300VAC disc ceramic
AC-Power,AC_110V,C16,C,16,470pF,250V,Through-hole,Through-hole,Y2 Safety Film Cap,1,-40C to 125C,Vishay,VY2471K29Y5SS63V7,BC2352-ND,Same,Same,Y2 rated 300VAC disc ceramic
AC-Power,AC_110V,C17,C,17,15uF,450V,Through-hole,Through-hole,Aluminum Electrolytic,1,-40C to 105C,Rubycon,450BXG15MEFC10X20,1189-450BXG15MEFC10X20-ND,Same,Same,Input bulk cap for PS1 - 10000hrs@105C radial can 10x22mm
AC-Power,+12V,PS1,PS,1,PBO-5F-12,N/A,Through-hole SIP,Through-hole SIP,AC-DC Power Supply,1,-40C to 85C,Bel/CUI,PBO-5F-12,VERIFY - MAY NEED DIRECT ORDER,Same,Same,12V 420mA 5W
AC-Power,+12V,D1,D,1,SMBJ20A,20V standoff,DO-214AA (SMD),DO-214AA (SMD),TVS Diode,1,-55C to 150C,Littelfuse,SMBJ20A,SMBJ20ALFCT-ND,Same,Same,Unidirectional overvoltage clamp for 12V
AC-Power,+12V,C18,C,18,1000pF,400V,Through-hole,Through-hole,Y2 Safety Film Cap,1,-40C to 125C,Vishay,VY2102M29Y5US63V7,BC2354-ND,Same,Same,Y2 rated 300VAC disc ceramic
AC-Power,+12V,L1,L,1,2.2uH,N/A,Through-hole,SMD,Power Inductor,1,N/A,Bourns,RLB9012-2R2ML,RLB9012-2R2ML-ND,TBD SMD equiv,VERIFY ON DIGIKEY,2.2uH - need SMD inductor PN for PCBWay
AC-Power,+12V,C19,C,19,470uF,25V,Through-hole radial,Through-hole radial,Solid Polymer Aluminum Electrolytic,1,-55C to 105C,KEMET,A750MS477M1EAAE015,VERIFY ON DIGIKEY,Same,Same,15mOhm ESR D10xL13mm
AC-Power,+12V,C20,C,20,220uF,35V,Through-hole radial,Through-hole radial,Solid Polymer Aluminum Electrolytic,1,-55C to 105C,TBD,TBD,VERIFY ON DIGIKEY,Same,Same,Search DigiKey parametric: polymer 220uF 35V THT
TPS562201DDCR,+12V,C32,C,32,10uF,25V,1206,0805,X7R Ceramic MLCC,1,-55C to 125C,KEMET,C1206C106K3RACTU,399-7442-1-ND,C0805C106K3RACTU,VERIFY ON DIGIKEY,Input decoupling - verify 10uF 25V available in 0805
TPS562201DDCR,+12V,C33,C,33,0.1uF,25V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,KEMET,C0805C104K5RACTU,399-1170-1-ND,C0603C104K5RACTU,VERIFY ON DIGIKEY,High-frequency input bypass (rated 50V)
TPS562201DDCR,+3.3V,PS2,PS,2,TPS562201DDCR,17V max input,SOT-23-6,SOT-23-6,Buck Converter IC,1,-40C to 150C,Texas Instruments,TPS562201DDCR,296-44397-1-ND,Same,Same,8.5-17V in 3.3V @ 2A out
TPS562201DDCR,+3.3V,C34,C,34,100nF,25V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,KEMET,C0805C104K5RACTU,399-1170-1-ND,C0603C104K5RACTU,VERIFY ON DIGIKEY,Bootstrap cap VBST to SW
TPS562201DDCR,+12V,R15,R,15,100K,N/A,0805,0603,Resistor 1%,1,N/A,Stackpole,RMCF0805FT100K,RMCF0805FT100KTR-ND,RMCF0603FT100K,VERIFY ON DIGIKEY,EN pullup to VIN
TPS562201DDCR,+3.3V,L2,L,2,3.3uH,N/A,Wurth 744311330,Wurth 744311330,Shielded Power Inductor,1,-40C to 125C,Wurth Elektronik,744311330,732-1152-1-ND,Same,Same,>=2A saturation current low DCR
TPS562201DDCR,+3.3V,R16,R,16,33.2K,N/A,0805,0603,Resistor 1%,1,N/A,Yageo,RC0805FR-0733K2L,311-33.2KCRCT-ND,RC0603FR-0733K2L,VERIFY ON DIGIKEY,Feedback divider upper
TPS562201DDCR,+3.3V,R17,R,17,10K,N/A,0805,0603,Resistor 1%,1,N/A,Yageo,RC0805FR-0710KL,311-10.0KCRCT-ND,RC0603FR-0710KL,VERIFY ON DIGIKEY,Feedback divider lower
TPS562201DDCR,+3.3V,C35,C,35,22uF,16V,1206,1206,X7R Ceramic MLCC,1,-55C to 125C,Murata,GRM31CZ71C226ME15L,VERIFY ON DIGIKEY,Same,Same,Output cap low ESR - 22uF stays 1206
TPS562201DDCR,+3.3V,C36,C,36,22uF,16V,1206,1206,X7R Ceramic MLCC,1,-55C to 125C,Murata,GRM31CZ71C226ME15L,VERIFY ON DIGIKEY,Same,Same,Output cap low ESR - 22uF stays 1206
TPS562201DDCR,+3.3V,C37,C,37,22uF,16V,1206,1206,X7R Ceramic MLCC,1,-55C to 125C,Murata,GRM31CZ71C226ME15L,VERIFY ON DIGIKEY,Same,Same,Output cap low ESR - 22uF stays 1206
Grill-Igniter,AC_110V,WirePad3,WirePad,3,IGNITER 16ga,N/A,Through-hole pad,Through-hole pad,Wire pad,1,N/A,N/A,N/A,N/A,N/A,N/A,AC load connection
Grill-Igniter,AC_110V,R6,R,6,200,N/A,0805,0603,Resistor 1%,1,N/A,Yageo,RC0805FR-07200RL,311-200CRCT-ND,RC0603FR-07200RL,VERIFY ON DIGIKEY,Snubber resistor across triac
Grill-Igniter,AC_110V,C11,C,11,0.22uF,400V,Through-hole,Through-hole,Film Cap,1,-40C to 105C,TDK/EPCOS,B32561J6224K000,495-6846-ND,Same,Same,Metallized polyester snubber cap
Grill-Igniter,AC_110V,T1,T,1,BTA12-600BWRG,600V,Through-hole TO-220,Through-hole TO-220,Triac,1,-40C to 125C,STMicroelectronics,BTA12-600BWRG,497-3121-5-ND,Same,Same,12A 600V
Grill-Igniter,AC_110V,R7,R,7,22,N/A,0805,0603,Resistor 1%,1,N/A,Yageo,RC0805FR-0722RL,311-22.0CRCT-ND,RC0603FR-0722RL,VERIFY ON DIGIKEY,Gate resistor
Grill-Igniter,AC_110V,U1,U,1,MOC3063M,N/A,Through-hole DIP-6,Through-hole DIP-6,Optocoupler,1,-40C to 85C,onsemi,MOC3063M,MOC3063M-ND,Same,Same,Zero-cross triac output
Grill-Igniter,+3.3V,R8,R,8,200,N/A,0805,0603,Resistor 1%,1,N/A,Yageo,RC0805FR-07200RL,311-200CRCT-ND,RC0603FR-07200RL,VERIFY ON DIGIKEY,LED current limit - 200ohm for -40C margin per MOC3063M datasheet Fig 4
Grill-Auger,AC_110V,WirePad4,WirePad,4,AUGER 16ga,N/A,Through-hole pad,Through-hole pad,Wire pad,1,N/A,N/A,N/A,N/A,N/A,N/A,AC load connection
Grill-Auger,AC_110V,R9,R,9,200,N/A,0805,0603,Resistor 1%,1,N/A,Yageo,RC0805FR-07200RL,311-200CRCT-ND,RC0603FR-07200RL,VERIFY ON DIGIKEY,Snubber resistor across triac
